region,gas,units,year,data_val
Manawatu-Whanganui,Carbon dioxide equivalents,Kilotonnes,2019,66.21
Marlborough,Carbon dioxide equivalents,Kilotonnes,2007,31.07
Marlborough,Carbon dioxide equivalents,Kilotonnes,2008,45.51
Marlborough,Carbon dioxide equivalents,Kilotonnes,2009,45.27
Marlborough,Carbon dioxide equivalents,Kilotonnes,2010,54.69
Marlborough,Carbon dioxide equivalents,Kilotonnes,2011,51.82
Marlborough,Carbon dioxide equivalents,Kilotonnes,2012,43.49
Marlborough,Carbon dioxide equivalents,Kilotonnes,2013,43.65
Marlborough,Carbon dioxide equivalents,Kilotonnes,2014,46.14
Marlborough,Carbon dioxide equivalents,Kilotonnes,2015,48.41
Marlborough,Carbon dioxide equivalents,Kilotonnes,2016,53.92
Marlborough,Carbon dioxide equivalents,Kilotonnes,2017,58.41
Marlborough,Carbon dioxide equivalents,Kilotonnes,2018,76.14
Marlborough,Carbon dioxide equivalents,Kilotonnes,2019,65.4
Northland,Carbon dioxide equivalents,Kilotonnes,2007,53.51
Northland,Carbon dioxide equivalents,Kilotonnes,2008,48.81
Northland,Carbon dioxide equivalents,Kilotonnes,2009,64.71
Northland,Carbon dioxide equivalents,Kilotonnes,2010,69.48
Northland,Carbon dioxide equivalents,Kilotonnes,2011,61.91
Northland,Carbon dioxide equivalents,Kilotonnes,2012,63.92
Northland,Carbon dioxide equivalents,Kilotonnes,2013,81.04
Northland,Carbon dioxide equivalents,Kilotonnes,2014,70.38
Northland,Carbon dioxide equivalents,Kilotonnes,2015,72.02
Northland,Carbon dioxide equivalents,Kilotonnes,2016,83.54
Northland,Carbon dioxide equivalents,Kilotonnes,2017,78.39
Northland,Carbon dioxide equivalents,Kilotonnes,2018,70.71
Northland,Carbon dioxide equivalents,Kilotonnes,2019,74.77
Otago,Carbon dioxide equivalents,Kilotonnes,2007,38.12
Otago,Carbon dioxide equivalents,Kilotonnes,2008,38.78
Otago,Carbon dioxide equivalents,Kilotonnes,2009,44.76
Otago,Carbon dioxide equivalents,Kilotonnes,2010,44.17
Otago,Carbon dioxide equivalents,Kilotonnes,2011,44.01
Otago,Carbon dioxide equivalents,Kilotonnes,2012,44.27
Otago,Carbon dioxide equivalents,Kilotonnes,2013,57.51
Otago,Carbon dioxide equivalents,Kilotonnes,2014,42.21
Otago,Carbon dioxide equivalents,Kilotonnes,2015,40.12
Otago,Carbon dioxide equivalents,Kilotonnes,2016,44.02
Otago,Carbon dioxide equivalents,Kilotonnes,2017,47.94
